"","x1","x2","zi1","zi2","total_count"
"382",0.035,0.815,0,6,6
"383",0.035,0.825,0,8,8
"384",0.035,0.835,0,4,4
"385",0.035,0.845,0,8,8
"386",0.035,0.855,0,6,6
"387",0.035,0.865,0,4,4
"388",0.035,0.875,0,5,5
"389",0.035,0.885,0,1,1
"390",0.035,0.895,0,5,5
"391",0.035,0.905,0,2,2
"392",0.035,0.915,0,6,6
"393",0.035,0.925,0,2,2
"394",0.035,0.935,0,1,1
"395",0.035,0.945,0,2,2
"396",0.035,0.955,0,4,4
"397",0.035,0.965,0,5,5
"398",0.035,0.975,0,4,4
"399",0.035,0.985,0,8,8
"400",0.035,0.995,0,2,2
"401",0.045,0.005,12,100,112
"402",0.045,0.015,10,90,100
"403",0.045,0.025,4,91,95
"404",0.045,0.035,0,71,71
"405",0.045,0.045,0,95,95
"406",0.045,0.055,0,75,75
"407",0.045,0.065,0,69,69
"408",0.045,0.075,0,60,60
"409",0.045,0.085,0,70,70
"410",0.045,0.095,0,52,52
"411",0.045,0.105,0,47,47
"412",0.045,0.115,0,38,38
"413",0.045,0.125,0,57,57
"414",0.045,0.135,0,43,43
"415",0.045,0.145,0,42,42
"416",0.045,0.155,0,44,44
"417",0.045,0.165,0,31,31
"418",0.045,0.175,0,37,37
"419",0.045,0.185,0,35,35
"420",0.045,0.195,0,30,30
"421",0.045,0.205,0,31,31
"422",0.045,0.215,0,33,33
"423",0.045,0.225,0,25,25
"424",0.045,0.235,0,33,33
"425",0.045,0.245,0,28,28
"426",0.045,0.255,0,28,28
"427",0.045,0.265,0,24,24
"428",0.045,0.275,0,12,12
"429",0.045,0.285,0,27,27
"430",0.045,0.295,0,25,25
"431",0.045,0.305,0,19,19
"432",0.045,0.315,0,27,27
"433",0.045,0.325,0,18,18
"434",0.045,0.335,0,17,17
"435",0.045,0.345,0,16,16
"436",0.045,0.355,0,22,22
"437",0.045,0.365,0,12,12
"438",0.045,0.375,0,15,15
"439",0.045,0.385,0,16,16
"440",0.045,0.395,0,9,9
"441",0.045,0.405,0,15,15
"442",0.045,0.415,0,20,20
"443",0.045,0.425,0,13,13
"444",0.045,0.435,0,19,19
"445",0.045,0.445,0,14,14
"446",0.045,0.455,0,16,16
"447",0.045,0.465,0,8,8
"448",0.045,0.475,0,10,10
"449",0.045,0.485,0,11,11
"450",0.045,0.495,0,10,10
"451",0.045,0.505,0,10,10
"452",0.045,0.515,0,10,10
"453",0.045,0.525,0,8,8
"454",0.045,0.535,0,8,8
"455",0.045,0.545,0,7,7
"456",0.045,0.555,0,14,14
"457",0.045,0.565,0,15,15
"458",0.045,0.575,0,11,11
"459",0.045,0.585,0,6,6
"460",0.045,0.595,0,6,6
"461",0.045,0.605,0,3,3
"462",0.045,0.615,0,12,12
"463",0.045,0.625,0,7,7
"464",0.045,0.635,0,7,7
"465",0.045,0.645,0,5,5
"466",0.045,0.655,0,6,6
"467",0.045,0.665,0,10,10
"468",0.045,0.675,0,3,3
"469",0.045,0.685,0,11,11
"470",0.045,0.695,0,6,6
"471",0.045,0.705,0,7,7
"472",0.045,0.715,0,5,5
"473",0.045,0.725,0,8,8
"474",0.045,0.735,0,7,7
"475",0.045,0.745,0,6,6
"476",0.045,0.755,0,4,4
"477",0.045,0.765,0,5,5
"478",0.045,0.775,0,3,3
"479",0.045,0.785,0,7,7
"480",0.045,0.795,0,4,4
"481",0.045,0.805,0,5,5
"482",0.045,0.815,0,3,3
"483",0.045,0.825,0,3,3
"484",0.045,0.835,0,1,1
"485",0.045,0.845,0,3,3
"486",0.045,0.855,0,4,4
"487",0.045,0.865,0,3,3
"488",0.045,0.875,0,5,5
"489",0.045,0.885,0,3,3
"490",0.045,0.895,0,3,3
"491",0.045,0.905,0,4,4
"492",0.045,0.915,0,3,3
"493",0.045,0.925,0,4,4
"494",0.045,0.935,0,3,3
"495",0.045,0.945,0,3,3
"496",0.045,0.955,0,4,4
"497",0.045,0.965,0,4,4
"498",0.045,0.975,0,1,1
"499",0.045,0.985,0,5,5
"500",0.045,0.995,0,3,3
"501",0.055,0.005,23,84,107
"502",0.055,0.015,7,115,122
"503",0.055,0.025,2,96,98
"504",0.055,0.035,1,99,100
"505",0.055,0.045,1,96,97
"506",0.055,0.055,0,65,65
"507",0.055,0.065,0,70,70
"508",0.055,0.075,0,74,74
"509",0.055,0.085,0,71,71
"510",0.055,0.095,0,62,62
"511",0.055,0.105,0,47,47
"512",0.055,0.115,0,65,65
"513",0.055,0.125,0,56,56
"514",0.055,0.135,0,38,38
"515",0.055,0.145,0,40,40
"516",0.055,0.155,0,33,33
"517",0.055,0.165,0,47,47
"518",0.055,0.175,0,38,38
"519",0.055,0.185,0,43,43
"520",0.055,0.195,0,39,39
"521",0.055,0.205,0,26,26
"522",0.055,0.215,0,36,36
"523",0.055,0.225,0,35,35
"524",0.055,0.235,0,29,29
"525",0.055,0.245,0,22,22
"526",0.055,0.255,0,18,18
"527",0.055,0.265,0,22,22
"528",0.055,0.275,0,15,15
"529",0.055,0.285,0,26,26
"530",0.055,0.295,0,21,21
"531",0.055,0.305,0,21,21
"532",0.055,0.315,0,22,22
"533",0.055,0.325,0,15,15
"534",0.055,0.335,0,23,23
"535",0.055,0.345,0,9,9
"536",0.055,0.355,0,15,15
"537",0.055,0.365,0,20,20
"538",0.055,0.375,0,17,17
"539",0.055,0.385,0,10,10
"540",0.055,0.395,0,18,18
"541",0.055,0.405,0,11,11
"542",0.055,0.415,0,15,15
"543",0.055,0.425,0,15,15
"544",0.055,0.435,0,15,15
"545",0.055,0.445,0,15,15
"546",0.055,0.455,0,14,14
"547",0.055,0.465,0,14,14
"548",0.055,0.475,0,8,8
"549",0.055,0.485,0,13,13
"550",0.055,0.495,0,10,10
"551",0.055,0.505,0,13,13
"552",0.055,0.515,0,10,10
"553",0.055,0.525,0,10,10
"554",0.055,0.535,0,7,7
"555",0.055,0.545,0,15,15
"556",0.055,0.555,0,11,11
"557",0.055,0.565,0,8,8
"558",0.055,0.575,0,12,12
"559",0.055,0.585,0,10,10
